,id,title,series,author,rating_count,review_count,number_of_pages,date_published,publisher,genre,isbn,description,awards,rating
4671,22259,Veronica,Single,Mary Gaitskill,5441.0,679.0,227.0,2005.0,Pantheon,Fiction,1,1990,3,3.4
4672,92147,Map of Bones,Sigma Force,James Rollins,60108.0,1709.0,523.0,2006.0,Avon,Thriller,1,1254,1,4.07
4673,19322249,Tigerman,Single,Nick Harkaway,5109.0,661.0,337.0,2014.0,Alfred A. Knopf,Fiction,1,1731,2,3.92
4674,19358975,"Saga, Vol. 3",Saga,Brian K. Vaughan,86395.0,5483.0,144.0,2014.0,Image Comics,Sequential Art,1,818,7,4.49
4675,1231772,Kitty and Her Sisters,Single,Maureen Lee,509.0,27.0,544.0,2006.0,Orion,Fiction,1,1238,0,4.07
4676,26852616,Fossil,Colonization,Scott McElhaney,24.0,0.0,92.0,2015.0,Superluminal Publishing,None,0,2256,0,4.46
4677,25680557,Tender Obsession,Single,Steven Todd Fisher,1.0,0.0,326.0,2015.0,Superluminal Publishing,None,0,1323,0,5.0
4678,22886708,Bogeyman - He Was Every Parent's Nightmare,Single,Steve    Jackson,817.0,98.0,248.0,2014.0,Wild Blue Press,Crime-True Crime,1,1099,0,3.93
4679,20898019,"Ms. Marvel, Vol. 1: No Normal",Ms. Marvel by G. Willow Wilson,G. Willow Wilson,84708.0,6041.0,120.0,2014.0,Marvel,Sequential Art,1,1214,10,4.12
4680,7970021,Le Voleur d'ombres,Single,Marc Levy,6058.0,517.0,274.0,2010.0,Laffont,Fiction,1,1188,0,3.91
4681,17081593,I Am Her...,I Am Her...,Sarah Ann Walker,840.0,266.0,362.0,2012.0,Sarah Ann Walker,Dark,1,1524,0,3.95
4682,18875225,重力とは何か　アインシュタインから超弦理論へ、宇宙の謎に迫る (幻冬舎新書) (Japanese Edition),Single,大栗 博司,3.0,1.0,289.0,2012.0,幻冬舎,None,0,72,0,4.67
4683,323477,La Petite Bijou,Single,Patrick Modiano,2769.0,228.0,168.0,2002.0,Gallimard Education,Fiction,1,793,0,3.45
4684,26226538,2003 - Thanks for the Vodka,Single,Harpie,2124.0,3.0,360.0,2015.0,Karl Wiggins,None,0,0,0,3.5
4685,713897,"Annie, Between the States",Single,L.M. Elliott,2006.0,211.0,499.0,2006.0,Katherine Tegen Books,Historical,1,799,0,4.1
4687,21936845,Welcome to Braggsville,Single,T. Geronimo Johnson,3327.0,629.0,354.0,2015.0,William Morrow,Fiction,1,2515,5,3.24
4688,1846648,Deep Down Popular,Single,Phoebe Stone,2587.0,341.0,288.0,2008.0,Arthur A. Levine Books,Realistic Fiction,1,961,0,3.64
4689,20735807,The Crane Wife,Single,Patrick Ness,7545.0,1317.0,350.958041958042,2014.0,Penguin Audio,Fantasy,1,1990,1,3.53
4690,7090193,Tattoos on the Heart: The Power of Boundless Compassion,Single,Gregory Boyle,20035.0,2996.0,240.0,2010.0,Free Press,Nonfiction,1,2581,2,4.48
4691,3116205,The Prodigal God: Recovering the Heart of the Christian Faith,Single,Timothy J. Keller,34847.0,1915.0,139.0,2008.0,Viking,Christian,1,1202,0,4.37
4692,20722123,Der Duft von Erde und Zitronen,Single,Margherita Oggero,171.0,24.0,320.0,2014.0,btb,None,1,980,0,3.67
4693,6419542,Travel as a Political Act,Single,Rick Steves,2937.0,429.0,209.0,2009.0,Nation Books,Travel,1,1270,0,4.08
4694,20757525,The Great Reformer: Francis and the Making of a Radical Pope,Single,Austen Ivereigh,530.0,86.0,12.0,2014.0,Macmillan Audio,Autobiography-Memoir,1,1795,0,4.15
4695,13376363,Teaching My Mother How to Give Birth,Single,Warsan Shire,16575.0,1415.0,37.0,2011.0,Flipped Eye,Poetry,1,1420,0,4.24
4696,18594528,Farmageddon: The True Cost of Cheap Meat,Single,Philip Lymbery,869.0,100.0,448.0,2014.0,Bloomsbury USA,Nonfiction,1,1760,0,4.24
4697,21412359,The Lyrics:  1961-2012,Single,Bob Dylan,293.0,32.0,679.0,2016.0,Simon  Schuster,Poetry,1,1421,0,4.6
4698,12303508,Perla,Single,Carolina De Robertis,1525.0,311.0,236.0,2012.0,Alfred A. Knopf,Historical,1,2000,0,3.95
4699,23492504,The Incarnations,Single,Susan  Barker,5106.0,868.0,371.0,2015.0,Touchstone,Fiction,1,1460,1,3.77
4700,32188043,Six Stories,Six Stories,Matt Wesolowski,4145.0,813.0,225.0,2017.0,Orenda Books,Mystery,0,1282,0,3.79
4702,25943917,Ainda estou aqui,Single,Marcelo Rubens Paiva,507.0,49.0,296.0,2015.0,Alfaguara Brasil,Nonfiction,1,1188,0,4.26
4703,25027342,The Princeling of Nanjing,Ava Lee,Ian  Hamilton,781.0,102.0,474.0,2016.0,Spiderline,Fiction,1,1502,0,3.97
4704,32377,I Don't Want to Be Crazy,Single,Samantha Schutz,5326.0,493.0,280.0,2006.0,Push,Poetry,1,327,0,3.79
4705,115033,"The Faith Club: A Muslim, A Christian, A Jew--Three Women Search for Understanding",Single,Suzanne Oliver,5273.0,919.0,320.0,2006.0,Free Press,Religion,1,2731,0,3.77
4706,1656179,The Complete War Walks,Single,Richard   Holmes,17.0,1.0,448.0,2003.0,BBC Books,None,1,2616,0,4.41
4707,35118935,Spectred Isle,Green Men,K.J. Charles,2734.0,515.0,271.0,2017.0,KJC Books,Romance,0,1364,1,4.17
4709,31450852,Tower of Dawn,Throne of Glass,Sarah J. Maas,185525.0,17152.0,660.0,2017.0,Bloomsbury USA Childrens,Fantasy,1,1479,1,4.3
4710,7821892,Sweep: Volume 1,Wicca,Cate Tiernan,7260.0,439.0,592.0,2010.0,Speak,Young Adult,1,1129,0,4.26
4711,419405,Law  Order: Crime Scenes,Single,Dick Wolf,60.0,8.0,160.0,2003.0,Barnes  Noble,Nonfiction,1,1052,0,4.12
4712,9592975,Shadow of the Serpent,Inspector McLevy,David Ashton,723.0,67.0,240.0,2011.0,Birlinn Ltd,Mystery,1,1001,0,3.53
4713,178796,The Good Women of China: Hidden Voices,Single,Xinran,9971.0,1094.0,256.0,2003.0,Anchor,Nonfiction,1,1353,1,4.28
4714,7497781,Voices from D-Day Voices from D-Day,Single,Jonathan Bastable,94.0,5.0,320.0,2005.0,David & Charles Publishers,History,1,1035,0,4.29
4716,36063347,"The Earth, My Butt, and Other Big Round Things",Virginia Shreves,Carolyn Mackler,26885.0,1847.0,256.0,2018.0,Bloomsbury U.S.A. Children's Books,Young Adult,1,1427,5,3.78
4717,1952343,El día del Watusi,El día del Watusi,Francisco Casavella,189.0,18.0,1056.0,2004.0,Debolsillo,Literature,1,965,0,4.23
4718,29467905,Before the Fall,Single,Noah Hawley,124084.0,12592.0,400.0,2016.0,Hodder & Stoughton,Fiction,0,1576,3,3.72
4719,13637207,Legacy,The Mystic Saga,Scott McElhaney,283.0,16.0,131.0,2012.0,Superluminal,None,0,0,0,3.77
4720,19661852,Fluent Forever: How to Learn Any Language Fast and Never Forget It,Single,Gabriel Wyner,9424.0,962.0,326.0,2014.0,Harmony,Nonfiction,0,2236,0,4.08
4721,27876293,Cooking for Picasso,Single,Camille Aubray,6715.0,805.0,400.0,2016.0,Ballantine Books,Historical,1,2449,0,3.86
4722,23301545,The Sleeper and the Spindle,Single,Neil Gaiman,43781.0,6438.0,72.0,2014.0,Bloomsbury Publishing Plc,Fantasy,1,1328,2,3.89
4723,16123975,Last Stand of Dead Men,Skulduggery Pleasant,Derek Landy,11141.0,615.0,604.0,2013.0,HarperCollinsChildren'sBooks,Fantasy,1,1215,2,4.59
4724,35660701,Pages for Her,Pages for You,Sylvia Brownrigg,1160.0,163.0,384.0,2017.0,PICADOR,Fiction,1,13,0,3.75
4725,3872,A History of the World in 6 Glasses,Single,Tom Standage,24319.0,2390.0,336.0,2006.0,Bloomsbury,History,1,1944,0,3.77
4726,531197,Lyra's Oxford,His Dark Materials,Philip Pullman,24026.0,1399.0,64.0,2003.0,Alfred A. Knopf,Fantasy,1,695,0,3.59
4727,41719463,Godshot,Single,Chelsea Bieker,5891.0,948.0,336.0,2020.0,Catapult,Fiction,1,2067,0,3.77
4728,45754743,The Illness Lesson,Single,Clare Beams,2163.0,375.0,288.0,2020.0,Doubleday Books,Historical,1,1709,0,3.32
4729,36582334,The Tattooist of Auschwitz,The Tattooist of Auschwitz,Heather   Morris,616385.0,42053.0,293.0,2018.0,Zaffre,Historical,1,1339,2,4.26
4730,29007699,Τα σκαλοπάτια της Οδησσού,Single,Σταμάτης Πολενάκης,5.0,1.0,63.0,2012.0,Μικρή Άρκτος,None,0,1772,0,4.2
4731,36316835,The Volunteer: The True Story of the Resistance Hero who Infiltrated Auschwitz,Single,Jack Fairweather,4898.0,543.0,528.0,2019.0,WH Allen,History,1,1681,2,4.35
4732,22907103,Gallipoli,Single,Peter FitzSimons,552.0,63.0,824.0,2014.0,Random House Australia,History,1,1510,1,4.26
4734,18160848,Caged,The Ke'lan,Skye Warren,209.0,28.0,65.0,2013.0,M/M Romance Group @ Goodreads,Romance,0,1833,0,3.21
4735,10144239,Examined Lives: From Socrates to Nietzsche,Single,James  Miller,598.0,77.0,432.0,2011.0,"Farrar, Straus and Giroux",Philosophy,1,1844,0,3.77
4736,21897166,Did Jesus Rise From The Dead?,Single,William Lane Craig,224.0,16.0,89.0,2014.0,Impact 360 Institute,Religion,0,1270,0,4.19
4737,35412372,Freshwater,Single,Akwaeke Emezi,19931.0,3430.0,229.0,2018.0,Grove Press,Fiction,1,1675,5,4.03
4738,25322449,Radio Silence,Single,Alice Oseman,50981.0,10730.0,403.0,2016.0,Harper Collins Children's Books,Fiction,0,1140,1,4.16
4739,16073071,The Servant,Single,Fatima Sharafeddine,400.0,78.0,157.0,2013.0,Groundwood Books,Young Adult,1,1937,0,3.7
4740,19034812,Inverting The Pyramid: The History Of Football Tactics,Single,Jonathan  Wilson,9322.0,517.0,384.0,2010.0,Orion,Sports,1,1299,0,4.15
4742,25038912,Τώρα να δούμε εσείς τι θα κάνετε,Single,Katerina Gogou,169.0,14.0,304.0,2014.0,Καστανιώτης,None,0,1572,0,4.53
4743,187775,Dog Days: James P. Cannon vs. Max Shachtman in the Communist League of America 1931-1933,Single,James P. Cannon,5.0,1.0,752.0,2002.0,Spartacist Publishing Company,None,1,0,0,2.8
4745,44890081,My Dark Vanessa,Single,Kate Elizabeth Russell,163339.0,22194.0,373.0,2020.0,William Morrow,Fiction,1,2121,3,4.06
4746,19173042,The Essential Rudolf Steiner,Single,Rudolf Steiner,30.0,0.0,508.0,2013.0,Start Publishing LLC,Philosophy,0,795,0,4.33
4747,13016062,Ikitie,Äitini suku,Antti Tuuri,239.0,20.0,431.0,2011.0,Otava,Literature,1,1188,0,3.88
4748,52855,Inside the Victorian Home: A Portrait of Domestic Life in Victorian England,Single,Judith Flanders,2514.0,288.0,499.0,2005.0,W. W. Norton  Company,History,1,1053,0,4.17
4749,466439,You Remind Me of Me,Single,Dan Chaon,4024.0,524.0,371.0,2005.0,Ballantine Books,Fiction,1,1216,0,3.62
4750,776093,Takeover: The Return of the Imperial Presidency and the Subversion of American Democracy,Single,Charlie Savage,269.0,40.0,400.0,2007.0,"Little, Brown and Company",Politics,1,1180,1,4.09
4751,6435893,I Kill Giants,I Kill Giants,Joe Kelly,15776.0,1671.0,184.0,2009.0,Image Comics,Sequential Art,1,407,1,4.15
4752,2182488,The Whiskey Rebels,Single,David Liss,7078.0,914.0,519.0,2008.0,Random House (NY),Fiction,1,2379,1,3.89
4753,216408,The True Story of Hansel and Gretel,Single,Louise Murphy,13125.0,1715.0,320.0,2003.0,Penguin Books,Historical,1,1359,0,4.02
4755,214618,Solitaire,Single,Kelley Eskridge,1175.0,161.0,353.0,2004.0,Eos,Science Fiction,1,244,3,3.98
4756,6589247,The Mysterious Collapse of World Trade Center 7,Single,David Ray Griffin,58.0,8.0,328.0,2009.0,Olive Branch Pr,Nonfiction,1,1262,0,4.07
4757,3102518,God Is Closer Than You Think,Single,John Ortberg,1805.0,102.0,0.0,2005.0,Zondervan,Christian,1,1398,0,4.19
4758,477453,Born Pissed,Single,Thomas  Waters,2.0,0.0,208.0,2002.0,America Star Books,None,1,785,0,5.0
4759,1432114,The Officer's Daughter,Single,Zina Rohan,108.0,13.0,350.958041958042,2007.0,Portobello Books,Historical,1,1654,0,3.67
4760,61904,Paladin of Souls,World of the Five Gods (Publication),Lois McMaster Bujold,22702.0,1338.0,470.0,2005.0,HarperTorch,Fantasy,1,238,4,4.17
4761,6404356,Other,Other,Karen Kincy,2619.0,281.0,336.0,2010.0,Flux,Young Adult,1,1366,0,3.69
4762,9537345,Barracuda: The Unauthorized Biography of Sarah Palin,Single,Aladdin Elaasar,11.0,1.0,160.0,2010.0,Beacon Press,None,1,830,0,3.36
4763,2838797,The Secret War with Iran: The 30-Year Clandestine Struggle Against the World's Most Dangerous Terrorist Power,Single,Ronen Bergman,240.0,32.0,419.0,2008.0,Free Press,History,1,2287,0,3.81
4764,2436099,All That Glitters,Avalon: Web of Magic,Rachel Roberts,1608.0,55.0,184.0,2008.0,Seven Seas,Fantasy,1,1128,0,4.08
4765,6202661,I Heart New York,I Heart,Lindsey Kelk,25951.0,1270.0,307.0,2009.0,Harper,Womens Fiction-Chick Lit,1,1455,0,3.87
4766,9879644,Vampire of My Dreams,Single,Christina Moss,37.0,10.0,60.0,2010.0,Adamantine PublishingHouse,Fantasy,1,175,0,3.81
4767,7823678,The Ugly Truth,Diary of a Wimpy Kid,Jeff Kinney,114565.0,4356.0,217.0,2010.0,Amulet books,Fiction,1,780,3,4.19
4768,7159515,Still Missing,Single,Chevy Stevens,74092.0,7175.0,342.0,2010.0,St. Martin's Press,Mystery,1,1166,2,3.96
4769,4565266,Modlitwa o deszcz,Terra incognita,Wojciech Jagielski,492.0,29.0,480.0,2007.0,Wydawnictwo W.A.B.,Nonfiction,1,1605,1,4.33
4770,60813,Brethren,Brethren Trilogy,Robyn Young,3894.0,238.0,483.0,2006.0,Dutton Books,Historical,1,2197,0,3.82
4771,3289090,Exposed,Maggie O'Dell,Alex Kava,5755.0,289.0,432.0,2008.0,Mira Books,Mystery,1,1690,0,4.07
4772,208205,The Mother Knot,Single,Kathryn Harrison,313.0,31.0,96.0,2009.0,Random House,Autobiography-Memoir,1,1641,0,3.35
4773,1726261,Jesus Through Middle Eastern Eyes: Cultural Studies in the Gospels,Single,Kenneth E. Bailey,2052.0,275.0,443.0,2008.0,IVP Academic,Religion,1,1423,0,4.49
4775,69833,We Are Their Heaven: Why the Dead Never Leave Us,Single,Allison DuBois,1059.0,123.0,240.0,2007.0,Atria Books,Nonfiction,1,1446,0,3.85
4776,6709,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now",Single,Eckhart Tolle,43407.0,874.0,128.0,2001.0,New World Library,Self Help,1,1058,0,4.21
4777,90448,Outwitting History: The Amazing Adventures of a Man Who Rescued a Million Yiddish Books,Single,Aaron Lansky,1864.0,314.0,328.0,2005.0,Algonquin Books,Nonfiction,1,1654,1,4.22
4778,10402306,Fallen,Will Trent,Karin Slaughter,48636.0,2163.0,400.0,2011.0,Random House Publishing Group,Mystery,1,1967,1,4.19
4779,10048815,El club de los corazones solitarios,The Lonely Hearts Club,Elizabeth Eulberg,26041.0,2329.0,335.0,2011.0,DEBOLSILLO,Young Adult,1,1417,0,3.79
4780,7823038,Grave Witch,Alex Craft,Kalayna Price,33257.0,2008.0,325.0,2010.0,Roc,Fantasy,1,1344,0,3.93
4783,164323,"The Google Story: Inside the Hottest Business, Media and Technology Success of Our Time",Single,David A. Vise,15889.0,563.0,336.0,2008.0,Delta,Business,1,1319,0,3.86
4784,11765920,The Calling,Darkness Rising,Kelley Armstrong,34983.0,1869.0,326.0,2012.0,Harper,Young Adult,1,1350,1,4.06
4785,3577266,Wings of Wrath,The Magister Trilogy,C.S. Friedman,3594.0,166.0,406.0,2009.0,Daw Books,Fantasy,1,962,0,3.95
4786,7106065,Christian Anarchism: A Political Commentary on the Gospel,Single,Alexandre Christoyannopoulos,54.0,9.0,350.0,2010.0,Imprint Academic,Politics,1,733,0,4.13
4787,2015492,Empress,Godspeaker Trilogy,Karen Miller,5803.0,551.0,717.0,2008.0,Orbit,Fantasy,1,1106,0,3.49
4788,261315,Payback Is a Mutha,Payback,Wahida Clark,4907.0,115.0,231.0,2006.0,Kensington,Fiction,1,1527,0,4.53
4790,144791,Seven Deadly Wonders,Jack West Jr,Matthew Reilly,27760.0,1191.0,547.0,2006.0,Pocket Books,Thriller,1,1228,3,4.08
4791,6509152,Lips Touch: Three Times,Single,Laini Taylor,13233.0,2235.0,288.0,2011.0,Arthur A. Levine Books,Fantasy,1,1012,2,3.89
4792,344219,Want To Play?,Monkeewrench,P.J. Tracy,12518.0,1013.0,480.0,2004.0,Penguin,Mystery,1,904,4,4.11
4793,11890805,A Good American,Single,Alex George,7477.0,1387.0,381.0,2012.0,Putnam Adult,Historical,1,2023,0,3.72
4794,152182,Berserk,Single,Tim Lebbon,1904.0,134.0,337.0,2006.0,Leisure Books,Horror,1,1118,0,3.66
4795,84132,The Dream-Hunter,Dark-Hunter,Sherrilyn Kenyon,43874.0,1019.0,340.0,2007.0,St. Martin's Press,Romance,1,1481,0,4.05
4796,13411699,Shades of Gray,KGI,Maya Banks,13255.0,850.0,286.0,2012.0,Penguin Group (USA),Romance,1,1475,0,4.27
4797,5352,The Summons,Single,John Grisham,72286.0,2253.0,384.0,2005.0,Delta,Fiction,1,1489,0,3.71
4799,13626575,Artful Dodging: The Torpedo Factory Murders,Single,M.S. Spencer,6.0,6.0,350.958041958042,2012.0,Secret Cravings,None,0,1116,0,4.33
4801,6479212,The First Tycoon: The Epic Life of Cornelius Vanderbilt,Single,T.J. Stiles,9177.0,502.0,773.0,2009.0,Vintage,Autobiography-Memoir,1,1218,2,3.77
4802,205057,Secret Society Girl,Secret Society Girl,Diana Peterfreund,4867.0,402.0,293.0,2007.0,Dell,Young Adult,1,1754,0,3.71
4803,9711804,Ingenue,Flappers,Jillian Larkin,3126.0,294.0,368.0,2011.0,Delacorte Books for Young Readers,Historical,1,1636,0,3.85
4804,2632830,The Pixar Touch: The Making of a Company,Single,David A. Price,8988.0,325.0,304.0,2008.0,Knopf,Nonfiction,1,1152,0,3.95
4805,13566041,Shadow,New Species,Laurann Dohner,14041.0,591.0,210.0,2012.0,Ellora's Cave,Fantasy,1,1154,0,4.24
4806,12063467,Fury,New Species,Laurann Dohner,30474.0,1732.0,376.0,2011.0,Ellora's Cave Publishing,Fantasy,1,1299,0,4.09
4807,1084357,Birth of the Cool,Single,Elizabeth Armstrong,31.0,1.0,301.0,2007.0,Prestel Publishing,Design,1,1416,0,4.1
4808,6413286,"The Umbrella Academy, Vol. 2: Dallas",The Umbrella Academy,Gerard Way,21696.0,1555.0,184.0,2009.0,Dark Horse Comics,Sequential Art,1,1619,0,4.0
4809,16032344,Out of the Picture and Into the Picture,Single,Victor G. La Van Way,4.0,3.0,25.0,2012.0,Ilyan Kei Lavanway,None,0,1844,0,4.0
4810,15814872,No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden,Single,Mark Owen,49357.0,3998.0,316.0,2012.0,Dutton Books,Nonfiction,1,2032,1,4.0
4812,16301336,Double Crossed: A Spies and Thieves Story,Heist Society,Ally Carter,13540.0,1119.0,60.0,2013.0,Disney Hyperion,Young Adult,1,1374,0,4.22
4813,17288863,Songs of Willow Frost,Single,Jamie Ford,19471.0,2902.0,350.958041958042,2013.0,Random House Audio,Historical,1,1558,1,3.66
4815,13406425,Burn for Burn,Burn for Burn,Jenny Han,28010.0,3419.0,356.0,2012.0,Simon & Schuster Books for Young Readers,Young Adult,1,1219,0,3.82
4816,10624002,Gitte,Single,Kristien Hemmerechts,103.0,4.0,315.0,2011.0,De Geus,None,1,835,0,3.33
4817,15513156,Of Triton,The Syrena Legacy,Anna Banks,24605.0,2033.0,246.0,2013.0,Feiwel & Friends,Fantasy,1,1123,0,3.98
4818,6499109,Liverpool Street,Single,Anne C. Voorhoeve,2112.0,325.0,567.0,2008.0,Ravensburger Buchverlag,Historical,1,333,2,4.24
4819,19918833,Scottish Brides,Fairchild Family,Christina Dodd,4061.0,193.0,368.0,2010.0,Avon,Romance,1,780,0,3.81
4820,172734,DragonSpell,DragonKeeper Chronicles,Donita K. Paul,13072.0,609.0,339.0,2004.0,WaterBrook Press,Fantasy,1,1339,1,3.85
4821,1212894,Special,Single,Bella Bathurst,295.0,38.0,320.0,2003.0,Mariner Books,Fiction,1,1521,1,3.2
4822,4291946,"Everything Ravaged, Everything Burned",Single,Wells Tower,8377.0,1068.0,256.0,2009.0,"Farrar, Straus and Giroux",Short Stories,1,1162,2,3.87
4823,6216433,"Come, Thou Tortoise",Single,Jessica Grant,3641.0,501.0,412.0,2009.0,Knopf Canada,Fiction,1,1108,3,3.94
4824,3754026,Beyond the Shadows,Night Angel,Brent Weeks,95076.0,2270.0,689.0,2008.0,Orbit,Fantasy,1,1216,0,4.24
4825,280254,The Exception,Single,Christian Jungersen,2318.0,261.0,502.0,2007.0,Nan A. Talese,Fiction,1,1686,1,3.8
4826,737439,Walking His Trail: Signs of God Along the Way,Single,Steve Saint,125.0,22.0,254.0,2007.0,Tyndale House Publishers,Christian,1,1130,0,4.41
4827,12233866,What We Talk About When We Talk About Anne Frank,Single,Nathan Englander,7621.0,1041.0,207.0,2012.0,Knopf,Short Stories,1,1805,2,3.75
4828,253860,A Thousand Years of Good Prayers,Single,Yiyun Li,3004.0,396.0,220.0,2006.0,Random House Trade Paperbacks,Short Stories,1,1944,5,3.94
4829,22084848,The Kabbalistic Murder Code,Historical Crime Thriller,Nathan Erez,395.0,56.0,350.0,2014.0,['        '],Mystery,0,1793,0,3.65
4830,18040989,Skymningsland,Single,Egon Alter,1.0,1.0,350.958041958042,2011.0,B4press,None,0,0,0,5.0
4831,22030490,My First Fun Golf Steps (My First Travel Books Series),Single,Anna Othitis,91.0,25.0,24.0,2014.0,LionheART Publishing House,Childrens,0,471,0,4.86
4832,6377326,Jekel Loves Hyde,Single,Beth Fantaskey,6946.0,716.0,282.0,2010.0,Harcourt Children's Books,Young Adult,1,1132,0,3.65
4833,18210750,Quantum Mechanics: The Theoretical Minimum,Theoretical Minimum,Leonard Susskind,1329.0,122.0,364.0,2014.0,Basic Books,Science,1,1638,0,4.34
4834,6081438,Warrior Of The Light   Volume 2,Single,Paulo Coelho,239.0,9.0,146.0,2008.0,Lulu.com,Philosophy,1,0,0,3.95
4835,18266809,Kicking the Sky,Single,Anthony De Sa,577.0,116.0,320.0,2014.0,Algonquin Books,Fiction,1,1228,0,3.55
4836,15923957,Wartime Farm,Period Farms,Peter Ginn,202.0,20.0,256.0,2012.0,Mitchell Beazley,History,1,1246,0,4.36
4837,14048619,"The Emotional Life of Your Brain: How Its Unique Patterns Affect the Way You Think, Feel, and Live--and How You Can Change Them",Single,Richard J. Davidson,2607.0,255.0,301.0,2012.0,Hudson Street Press,Psychology,1,1503,0,3.92
4838,171731,God of Thunder,Rogue Angel,Alex Archer,777.0,37.0,352.0,2007.0,Gold Eagle,Fantasy,1,1106,0,3.8
4839,18685103,Smiting the Bear: The Last Stand of Comrade Fox (The Life and Times of Archibald Brinsley Fox 2),Single,Stewart Hennessey,20.0,3.0,288.0,2013.0,Nemesis,None,0,1572,0,4.4
4840,56913,Barefoot in Paris,Single,Ina Garten,14996.0,145.0,240.0,2004.0,Clarkson Potter,Food and Drink,1,1970,0,4.12
4841,22625216,Rise of the Hybrids: The Saga of a World Called Htrae,Single,Dee Krull,1.0,0.0,446.0,2014.0,Createspace Independent Publishing Platform,None,1,1532,0,4.0
4842,7738041,Appetite for Destruction: Legendary Encounters with Mick Wall,Single,Mick Wall,126.0,10.0,400.0,2010.0,Orion,Music,1,1230,0,3.7
4844,10353369,"The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind, Survive Everyday Parenting Struggles, and Help Your Family Thrive",Single,Daniel J. Siegel,25774.0,2253.0,192.0,2011.0,Delacorte Press,Parenting,1,2582,0,4.24
4845,55013,Jolie Blon's Bounce,Dave Robicheaux,James Lee Burke,7529.0,324.0,480.0,2003.0,Pocket Star,Mystery,1,3068,4,4.14
4846,1862494,A Terrible Glory: Custer and the Little Bighorn - the Last Great Battle of the American West,Single,James Donovan,2002.0,204.0,528.0,2008.0,"Little, Brown and Company",History,1,1550,1,4.13
4847,22611728,The Curious Case of the Werewolf That Wasn't,Parasol Protectorate,Gail Carriger,4120.0,423.0,32.0,2014.0,Gail Carriger LLC,Science Fiction,0,1076,0,3.63
4848,22714886,Dark of Night,Single,Marios Savva,41.0,24.0,300.0,2014.0,Gail Carriger LLC,Business,0,1120,0,3.66
4849,7519231,All Clear,All Clear,Connie Willis,20245.0,2276.0,656.0,2010.0,Spectra,Science Fiction,1,1977,3,4.06
4850,18077769,Authority,Southern Reach,Jeff VanderMeer,68021.0,6765.0,341.0,2014.0,"Farrar, Straus and Giroux",Science Fiction,1,1449,0,3.53
4851,17347982,Bound,André Chevalier BDSM Stories,Nikki Sex,868.0,108.0,42.0,2013.0,"Farrar, Straus and Giroux",Erotica,0,1068,0,3.76
4852,21400348,The 4 Painful Life Stories: How We Contracted Hiv/Aids,Single,Francis Otieno,5.0,1.0,43.0,2014.0,F. Otieno,None,0,1651,0,4.4
4854,17754054,Under the Jewelled Sky,Single,Alison   McQueen,619.0,114.0,384.0,2013.0,Orion,Historical,1,1744,0,3.94
4855,198331,Valhalla Rising,Dirk Pitt,Clive Cussler,22406.0,571.0,528.0,2004.0,G.P. Putnam's Sons,Fiction,1,1657,0,3.95
4856,8518687,ہم کہاں کے سچے تھے (Hum Kahan Kay Sachay Thay),Single,Umera Ahmed,800.0,56.0,144.0,2012.0,Ilm-o-Irfan,Fiction,0,1567,0,3.65
4858,6612005,"Alice in the Country of Hearts, Vol. 01",Alice in the Country of Hearts,QuinRose,15410.0,310.0,182.0,2010.0,TokyoPop,Sequential Art,1,361,0,4.2
4859,3350218,Urchin and the Raven War,The Mistmantle Chronicles,M.I. McAllister,943.0,40.0,284.0,2008.0,Disney-Hyperion,Fantasy,1,1268,0,4.34
4860,4413184,La Medusa,Single,Vanessa Place,90.0,21.0,488.0,2008.0,Fiction Collective 2,Fiction,1,3438,0,4.0
4861,10336420,Pegasus and the Fight for Olympus,Pegasus,Kate O'Hearn,5830.0,290.0,368.0,2011.0,Hodder Children's Books,Fantasy,1,212,0,4.4
4862,13063717,Fvonk,Single,Erlend Loe,1233.0,53.0,350.958041958042,2011.0,Cappelen Damm,Fiction,0,1344,0,3.7
4864,10560721,Red Sails in the Fallout,Gamma World,Paul Kidd,119.0,15.0,307.0,2011.0,Wizards of the Coast,Science Fiction,1,1557,0,3.93
4865,15814391,The Last Train to Zona Verde: My Ultimate African Safari,Single,Paul Theroux,3073.0,419.0,368.0,2013.0,Houghton Mifflin Harcourt,Travel,1,2135,2,3.86
4866,5171894,The Doomsday Key,Sigma Force,James Rollins,29999.0,1069.0,448.0,2009.0,William Morrow,Thriller,1,2016,0,4.15
4867,23399192,Rook,Single,Sharon Cameron,8768.0,1591.0,456.0,2015.0,Scholastic Press,Young Adult,1,1154,0,3.78
4868,23093367,"Saga, Vol. 4",Saga,Brian K. Vaughan,71476.0,4971.0,152.0,2014.0,Image Comics,Sequential Art,1,301,5,4.42
4869,16500588,erinyes,Single,Scott McElhaney,267.0,28.0,111.0,2012.0,Superluminal,None,0,1491,0,3.66
4870,2586973,Mother of Pearl,Single,Maureen Lee,729.0,63.0,400.0,2009.0,Orion,Fiction,1,1362,0,4.09
4871,848818,The Lost Amazon,Single,Wade Davis,145.0,16.0,204.0,2004.0,Chronicle Books,Nonfiction,1,1551,0,4.4
